case,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
sample_13_2,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0176323737562407,0.017632373756240716,0.89346881956649549,0.07045988288505145,0.30883957723439404,1.2805085373321683,0,0,0,0,0,0.99084112393179524,0
sample_13_3,full,MEASURED,2023-01-03,2026-09-11,896,9.8371183444832795,8.8371183444832795,0.85876378018848398,0.41401384038052136,0.41401384038052136,1.5676983471639139,14,3.7962138084632517,0.81451105697520454,476.72365540799996,1831.7207999997831,0.90899338909860206,0
sample_13_3,bull,MEASURED,2023-01-03,2026-06-30,843,12.970698029872764,11.970698029872764,1.0848822177470603,0.41401384038052136,0.41401384038052136,1.8949572557978631,14,4.0137362637362637,0.81451105697520454,476.72365540799996,1831.7207999997831,0.90380166729722755,0
sample_13_3,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.76205636861548676,-0.23794363138451324,-0.75777133782380091,0.37229555103973355,0.37229555103973355,-1.3336351261252408,0,0,0,0,0,0.99188438120555023,0
sample_13_3,july_august,MEASURED,2026-07-01,2026-08-31,44,0.73434802067076976,-0.26565197932923024,-0.84257985120391488,0.37229555103973355,0.37229555103973355,-1.7732513280065796,0,0,0,0,0,0.99163687079636098,0
sample_13_3,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0327676334905385,0.032767633490538461,2.2467261126792164,0.062220849650943544,0.31134373711485419,1.9119604525330092,0,0,0,0,0,0.99124986508274615,0
sample_13_4,full,MEASURED,2023-01-03,2026-09-11,896,17.424967608888508,16.424967608888508,1.1704704222655993,0.4345197082448502,0.4345197082448502,1.7121835334330375,15,4.0673719376391988,0.96942249196960872,515.31277777979994,1979.9922299997804,0.99060943785728406,0
sample_13_4,bull,MEASURED,2023-01-03,2026-06-30,843,23.461391808056678,22.461391808056678,1.4710082072121069,0.4345197082448502,0.4345197082448502,2.0054602253448652,15,4.3004317111459969,0.96942249196960872,515.31277777979994,1979.9922299997804,0.99004996107632415,0
sample_13_4,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.73025583454085463,-0.26974416545914537,-0.80607569704910231,0.38562830781846735,0.38562830781846735,-1.539618332206411,0,0,0,0,0,0.99952791222961679,0
sample_13_4,july_august,MEASURED,2026-07-01,2026-08-31,44,0.72276072877598807,-0.27723927122401193,-0.85687979277942117,0.37727857762097583,0.38562830781846735,-1.8349402053191262,0,0,0,0,0,0.99951359372498594,0
sample_13_4,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0275989693147762,0.027598969314776234,1.7030817560084093,0.045713456466849656,0.31952725096507173,1.9099130876530275,0,0,0,0,0,0.99948233432065381,0
sample_13_5,full,MEASURED,2023-01-03,2026-09-11,896,4.4028596797444113,3.4028596797444113,0.49469966143414035,0.4790735581569584,0.4790735581569584,1.2079626623576833,13,3.5250556792873051,0.95993456870210958,517.90225026539997,1989.9417899997752,0.93424833219426873,0
sample_13_5,bull,MEASURED,2023-01-03,2026-06-30,843,6.1230502572807524,5.1230502572807524,0.6812027527100617,0.4790735581569584,0.4790735581569584,1.6192920667050128,13,3.7270408163265305,0.95993456870210958,517.90225026539997,1989.9417899997752,0.93016892576025345,0
sample_13_5,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.93133001055112197,-0.068669989448878033,-0.31009866391846053,0.45671012840829162,0.45671012840829162,-0.014756189476538339,0,0,0,0,0,0.99916159979000441,0
sample_13_5,july_august,MEASURED,2026-07-01,2026-08-31,44,0.75222657734092002,-0.24777342265907998,-0.81819226967121406,0.45671012840829162,0.45671012840829162,-1.4794807246168689,0,0,0,0,0,0.99913623530589557,0
sample_13_5,recovery,MEASURED,2026-09-01,2026-09-11,9,0.95591295376194885,-0.044087046238051153,-0.80734507359219354,0.11138974407749447,0.33156374859737459,-2.4846571791834826,0,0,0,0,0,0.9991229863012876,0
sample_22_0,full,MEASURED,2023-01-03,2026-09-11,896,10.898836002184579,9.8988360021845789,0.91114681921050589,0.37719637675281426,0.37719637675281426,1.6065956455572392,21,5.6943207126948776,0.82684518501737858,462.74798750179997,1778.0219299998071,0.93824204194966232,18
sample_22_0,bull,MEASURED,2023-01-03,2026-06-30,843,15.278762403750118,14.278762403750118,1.1851069068182971,0.37621831933020677,0.37621831933020677,1.9633784966376593,21,6.020604395604396,0.82684518501737858,462.74798750179997,1778.0219299998071,0.93496575405748161,18
sample_22_0,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.73200552160971677,-0.26799447839028323,-0.80363898425883695,0.37719637675281426,0.37719637675281426,-1.582353305807721,0,0,0,0,0,0.99076679649236432,0
sample_22_0,july_august,MEASURED,2026-07-01,2026-08-31,44,0.71438913865314058,-0.28561086134685942,-0.86652345965392463,0.37719637675281426,0.37719637675281426,-1.9782147677234314,0,0,0,0,0,0.99048154433864333,0
