case,group,treatment_wealth,control_wealth,buy_hold_wealth,treatment_control_wealth_ratio,treatment_buy_hold_wealth_ratio,treatment_mdd,control_mdd
sample_2_0,sampled_subset,6.0341422300946013,4.0799702984392292,8.5508873369336573,1.4789671955217247,0.70567439288218259,0.37313351155562863,0.31143314047781828
sample_2_1,sampled_subset,24.198989755139941,5.3854210103864446,27.647503261582571,4.4934258080230354,0.87526853785620151,0.38409745436485182,0.50360141428278216
sample_2_2,sampled_subset,0.91035529342351096,1.029090810929655,1.8799886209277876,0.88462095254851092,0.48423446998005987,0.49955357135230111,0.32590068520760068
sample_2_3,sampled_subset,1.5207746682890635,1.2772065180973,3.6084533722099614,1.1907038108094028,0.42144778147921036,0.45890637685383873,0.37352908194996909
sample_2_4,sampled_subset,2.4460079910259416,3.1310576914330461,18.680413327048775,0.78120821526812367,0.13093971467345333,0.75039379345563884,0.61730374205429805
sample_2_5,sampled_subset,1.1645829754772823,2.3734957237381802,20.351482484345443,0.49066150144273324,0.057223495947928645,0.68424062001466146,0.57166801874581485
sample_33_0,sampled_subset,8.3845508267454036,4.582612218906549,9.3454697954760668,1.8296444093945243,0.8971780991474797,0.43404333180588811,0.33563774014086828
sample_33_1,sampled_subset,11.174351416619402,6.4255590832075056,9.3278612659844153,1.7390473376584996,1.1979542896256956,0.43859895276402111,0.33488995430207552
sample_33_2,sampled_subset,9.4505301200076168,5.4863652373124046,9.3172402991385859,1.722548483599887,1.0143057189242348,0.4445971294805825,0.33553241932072742
sample_33_3,sampled_subset,7.3721482603864414,6.1455889627714004,9.2679451371177279,1.1995836859648867,0.79544582443213863,0.46176720178230413,0.32168893190108683
sample_33_4,sampled_subset,5.694825966035606,4.6302677941002157,9.3540772054179673,1.2299128731370195,0.60880681664003267,0.45826206315805418,0.3299547472297179
sample_33_5,sampled_subset,10.05606312590159,6.1098657613321432,9.3229393472321362,1.6458730058431024,1.0786365492002379,0.42746285835257308,0.3353849219791788
sample_3_0,sampled_subset,4.7152852492482298,4.0540250942350076,12.584269005286153,1.1631120034144735,0.37469679385171484,0.74166566393188271,0.54707649667562652
sample_3_1,sampled_subset,2.5348001913749552,2.1855152258439121,4.1224814387977879,1.1598181341409646,0.61487243278265968,0.50918061663241521,0.31841349312397138
sample_3_2,sampled_subset,9.3557842499652946,4.3645115725998709,29.511576418539757,2.1436039507147417,0.31702082319424335,0.59579090062674267,0.58647911992162838
sample_3_3,sampled_subset,7.1430924956007154,5.1255673807874347,21.578479723793521,1.3936198599935936,0.33102853338293248,0.72146327364747387,0.59306682980470227
sample_3_4,sampled_subset,9.54562391627198,13.368951384267778,23.356633636079923,0.71401440860238397,0.4086900563241474,0.43517842961126602,0.31136915346132388
sample_3_5,sampled_subset,1.764184721311147,1.9232363910105339,3.475216257604381,0.91729998951620517,0.50764746437025388,0.47637970479887071,0.2851236253958353
sample_5_0,sampled_subset,1.4607518800998305,3.5290948320908115,11.332999798516529,0.41391686809232281,0.1288936650551287,0.72252532746086573,0.59016404800497058
sample_5_1,sampled_subset,2.8447763456017445,2.9470119286087448,9.4409545429291839,0.96530873118818195,0.30132295761685918,0.60129480742762542,0.4900579467414618
sample_5_2,sampled_subset,3.2724742646483445,4.1873348812675557,9.3518046988433809,0.78151720782784107,0.34992970555224273,0.41095316960987183,0.29499600368601608
sample_5_3,sampled_subset,1.2985773771154674,1.8750033646271715,2.5782504532584589,0.69257335832764144,0.50366611027811203,0.47227265555559389,0.4875176279534581
sample_5_4,sampled_subset,9.2983083087772123,6.8556731393195776,14.08038488741674,1.3562939947425885,0.6603731633136577,0.65734748733732185,0.53726456467516104
sample_5_5,sampled_subset,2.7502757162173266,3.4762688052089827,9.9326090698978007,0.79115737888169102,0.27689358323307339,0.527561618920113,0.38208874356023192
sample_8_0,sampled_subset,0.93405066308492724,1.234339859660168,4.7159167058203115,0.75672081378145328,0.19806343524518497,0.69741151381978683,0.68800878829133183
sample_8_1,sampled_subset,5.4274927578520797,3.2067081441867549,13.210157946557004,1.6925434164288538,0.41085752190167119,0.4503330152856766,0.38279796890629397
sample_8_2,sampled_subset,1.2829440158117933,0.70733293593377256,3.3803058077066992,1.8137767247019798,0.3795348967797032,0.53314054706980796,0.68691057497558283
sample_8_3,sampled_subset,1.1586680190323684,0.72420477983641618,4.4290358023227343,1.5999176631975407,0.26160728220456564,0.67390263371013048,0.68489761301805263
sample_8_4,sampled_subset,1.9681229234290547,7.2505863121765746,10.084665687122865,0.27144327902473286,0.19515995715575934,0.52474766549194996,0.39288141568257551
sample_8_5,sampled_subset,16.470842461436789,2.6511957503884465,11.19086701291846,6.2126089554207846,1.4718111154768665,0.34964403621705042,0.35583551245252848
single_bj920045,single,1.0309489582237792,1.0190813306336206,2.5055693701712407,1.0116454175279415,0.4114629475029542,0.49192000167241551,0.38269248466813482
single_sh600206,single,1.5881504783499163,2.6192916013992127,3.5990146632597435,0.60632824443889111,0.44127368931347372,0.433238007617468,0.37899880138223152
single_sh601869,single,6.3520986133981481,3.6681155283506559,14.546626221380752,1.7317062574237752,0.43667160458565857,0.37313351155562863,0.39917553993153448
single_sh603986,single,2.3308167548640495,2.1243912569323875,3.665448779700347,1.0971692466056087,0.63588850777901074,0.49542959771758183,0.45279635095536352
single_sh688008,single,1.7419100078727441,1.6789992384288472,3.121272876134956,1.0374692066583464,0.55807680936558657,0.4955079187508627,0.37686872809094069
single_sh688012,single,1.0237989755062575,1.1873614803454111,5.0166157211546842,0.86224708519972182,0.20408160250125909,0.52450581699182774,0.48797223451750199
single_sh688019,single,2.8406122722256408,1.8031594823498007,3.5464424397984926,1.5753527627649861,0.8009751519855608,0.22022081551747991,0.41795372763915623
single_sh688037,single,2.2403085828757514,2.0794583809294327,4.2088044212057403,1.0773519698309255,0.532290968805328,0.42355687460800151,0.40603603205504452
single_sh688041,single,1.5648125742565735,0.93837717672541476,5.5443713725578165,1.6675731391050919,0.28223444446771784,0.57578582088236452,0.50292506569796092
single_sh688072,single,2.0485800790493638,1.7274935017204804,6.215723046105337,1.185868471869272,0.32958033423528549,0.65164788215212832,0.62865726639598585
