candidate,scope,leadership_window,exit_span,positions,pressure_guard,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
14,joint_optical_leader_removal,120,60,4,False,MEASURED,2023-01-03,2025-12-31,727,0.7936726823890915,-0.2063273176109085,-0.074315532820597552,0.72574858766814621,0.72574858766814621,0.042799708948039299,223,74.520356816102478,59.895313729294514,63183.354362525963,107898.84393252559,0.84899518024764531,3,0.95301874638334294,-1.9987698308106212
15,union,120,60,4,True,MEASURED,2023-01-03,2025-12-31,727,1.5940048045954225,0.59400480459542249,0.16860129723357509,0.66330525792706074,0.66330525792706074,0.56615899621966714,372,124.31198536139067,76.672068491895189,97418.799827816852,170600.79317418076,0.80024067224991446,324,1.1257142857142859,-1.9187693671437194
15,chatgpt_5,120,60,4,True,MEASURED,2023-01-03,2025-12-31,727,7.4978206246767867,6.4978206246767867,0.96055394951437267,0.49492403770620974,0.49492403770620974,1.6100390079656195,212,70.844464775846291,52.649846244762749,168602.92340385253,303138.13267375703,0.64755278225922208,105,0.78151260504201692,-1.4041581101297951
15,joint_optical_leader_removal,120,60,4,True,MEASURED,2023-01-03,2025-12-31,727,0.79325983877192274,-0.20674016122807726,-0.074476468524435235,0.73391065904013653,0.73391065904013653,0.034319159141118466,342,114.2868252516011,71.32829300957097,73050.470634213561,124480.35720717652,0.80431938448768936,333,0.95353905032944941,-2.0849446251567176
16,union,252,20,2,False,MEASURED,2023-01-03,2025-12-31,727,1.2177915003248774,0.21779150032487737,0.068061056898501615,0.71685913904286436,0.71685913904286436,0.41057356882277141,180,60.150960658737425,83.910568178448088,109797.86786269906,190491.88448816055,0.84881874713044148,0,1.2351589688628488,-2.0998233504789279
16,chatgpt_5,252,20,2,False,MEASURED,2023-01-03,2025-12-31,727,11.598241959559147,10.598241959559147,1.2682455229373351,0.45713215173743804,0.45713215173743804,1.7527968861147949,98,32.748856358645931,46.672669269623697,162459.61545517028,295303.52029716951,0.7274792685822018,0,0.3821444185994014,-0.86338184234087278
16,joint_optical_leader_removal,252,20,2,False,MEASURED,2023-01-03,2025-12-31,727,0.77048793750047051,-0.22951206249952949,-0.08344123440219664,0.80173141995326258,0.80173141995326258,0.099198817318622179,173,57.811756633119856,83.167509152200253,91086.652489328408,159267.13968324699,0.84163456285874949,0,0.98266588461235826,-2.0519868928875087
17,union,252,20,2,True,MEASURED,2023-01-03,2025-12-31,727,1.0171270566328077,0.017127056632807669,0.005691055893056518,0.65226075748956291,0.65226075748956291,0.29092400279208003,263,87.887236962488572,92.99762776762303,130864.59881287471,227430.60044218402,0.772991919829494,63,1.3746809445853554,-2.2869040475179729
17,chatgpt_5,252,20,2,True,MEASURED,2023-01-03,2025-12-31,727,9.6321659163198383,8.6321659163198383,1.1317339656854291,0.45483925424917515,0.45483925424917515,1.6877053959684258,172,57.477584629460203,54.543281502817671,171998.01029789483,312928.8081998644,0.67091793474996964,26,0.44537815126050417,-1.096865043232901
17,joint_optical_leader_removal,252,20,2,True,MEASURED,2023-01-03,2025-12-31,727,0.75948196694576342,-0.24051803305423658,-0.087837356290821011,0.77614991993375082,0.77614991993375082,0.069297085127742755,258,86.216376944190301,91.671749780643722,102243.97569237906,178093.62992814693,0.75112913908401124,106,0.99705330540163273,-2.1039974292842905
