date,nav,cash,global_peak,warning_cap,funded_budget,actual_risk,requested_risk,original_target_error,changed_units,target_l1_change,protective,reason
2024-08-12,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-13,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-14,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-15,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-16,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-19,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-20,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-21,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-22,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-23,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-26,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-27,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-28,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-29,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-08-30,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-02,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,CROSS_SECTION_SHOCK|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-03,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-04,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-05,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-06,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-09,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-10,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-11,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-12,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-13,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-18,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-19,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-20,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-23,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-24,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-09-25,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
