candidate,scope,leader_rule,market_span,minimum_breadth,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
7,joint_optical_leader_removal,persistent,10,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,0.99404980367079987,-0.0059501963292001303,-0.0019923409022395422,0.60334838161521742,0.60334838161521742,0.21380782705411089,86,28.738792314730102,40.569134937480648,56613.117453239007,99721.988459472428,0.56345679517668934,2,0.72790257413405757,-1.5902903750188946
8,union,persistent,20,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,2.2006715237743975,1.2006715237743975,0.30158449210980698,0.50410020146714341,0.50410020146714341,0.77535849267283408,108,36.090576395242451,49.54048596491161,115110.60652928242,206273.38075533079,0.64595899320318928,0,0.60290043475607447,-1.3004097995373853
8,chatgpt_5,persistent,20,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,7.0406882647549009,6.0406882647549009,0.91977018060378279,0.51545994996620315,0.51545994996620315,1.5015915181685147,86,28.738792314730102,41.137079933038613,122734.56105882612,217744.3415006662,0.62909022645385215,0,0.55849920017552601,-1.3982551640696299
8,joint_optical_leader_removal,persistent,20,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,1.5772191179601525,0.57721911796015246,0.16447448495984207,0.61433885943479227,0.61433885943479227,0.56326035060577406,98,32.748856358645931,46.946677562552708,75089.683143828355,136310.49216874564,0.60049005885289553,0,0.33933764712200731,-1.1449221477835336
9,union,persistent,20,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,1.5981648421226666,0.59816484212266663,0.16961957696423857,0.51063035581138005,0.51063035581138005,0.57836520923647983,82,27.402104300091491,38.194508627235898,79361.715296084047,142065.66794020074,0.55844016908684557,1,0.9228069893292522,-1.6078370256784387
9,chatgpt_5,persistent,20,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,6.2102668531457592,5.2102668531457592,0.84092139635896457,0.55582406086476488,0.55582406086476488,1.4167678489613771,84,28.070448307410796,39.707253983601134,122961.77710968154,223372.38425300809,0.59236200928324922,0,0.68054056256523121,-1.5526936229569523
9,joint_optical_leader_removal,persistent,20,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,0.91483466192390606,-0.085165338076093944,-0.029307256790164105,0.60334838161521742,0.60334838161521742,0.14637278246350541,86,28.738792314730102,40.535094222296543,56347.759510651857,99199.58404255833,0.56341463326304664,2,0.81094653223516699,-1.6733343331200039
10,union,persistent,40,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,1.8286837314937459,0.82868373149374586,0.22348706326969547,0.46687835841936098,0.46687835841936098,0.66330812805055939,104,34.753888380603847,48.791978309377711,105147.57000195628,186759.04555312221,0.60765231809395825,1,0.7880665509789152,-1.4549861574451119
10,chatgpt_5,persistent,40,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,7.7895070071148318,6.7895070071148318,0.98571846246665373,0.49277284499507013,0.49277284499507013,1.5541061948695936,82,27.402104300091491,39.076528218299217,121161.94438427658,214790.32710628252,0.63854910512459995,0,0.4899044723908994,-1.2774948170542952
10,joint_optical_leader_removal,persistent,40,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,0.91353349144054208,-0.086466508559457922,-0.029768839137423564,0.71699045231456948,0.71699045231456948,0.15567869373190846,101,33.751372369624889,47.486864560489138,56693.77372051499,97951.567677942294,0.59472773674517021,2,0.81236984591587325,-1.7700143599350138
11,union,persistent,40,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,1.886254480835756,0.88625448083575598,0.2362260738416555,0.47006411262589409,0.47006411262589409,0.70762725993011155,75,25.062900274473925,34.877674157015939,79065.257935665417,141484.64246206285,0.54365256611556889,1,0.75706988000093678,-1.4069968259097738
11,chatgpt_5,persistent,40,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,6.1010583407449834,5.1010583407449834,0.83003932403625313,0.53805698890079945,0.53805698890079945,1.4058031687480508,84,28.070448307410796,39.712400906641278,118978.7469650643,215548.35728789459,0.59774726788170163,0,0.62682161224306432,-1.557109930914244
11,joint_optical_leader_removal,persistent,40,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,0.87128149711445413,-0.12871850288554587,-0.045001601848509987,0.62199824162430906,0.62199824162430906,0.10234951908603525,87,29.072964318389754,39.983552172725524,54272.788883502413,95126.929703496935,0.55653532877273926,2,0.85972477077292975,-1.7367683106719047
