date,bj920045,sh600206,sh601869,sh603986,sh688008,sh688012,sh688019,sh688037,sh688041,sh688072,sh688082,sh688120,sh688205,sh688249,sh688256,sh688268,sh688300,sh688347,sh688361,sh688409,sh688498,sh688535,sh688825,sz002281,sz002371,sz002409,sz300054,sz300223,sz300604,sz300666,sz300776
2025-04-08,0,0,0,0,0,0,0.00024260929692028086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0019753602530676803
2025-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00056681716582059147,0,0,0,0,0,0,0,0,0.0015096753674227123,0,0,0,0,0,0
2025-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090720248669802061,0,0,0,0,0,0,0,0,-0.00038893665813164932,0,0,0,0,0,0
2025-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023794041379073833,0,0,0,0,0,0,0,0,-0.00081976889425831,0,0,0,0,0,0
2025-04-21,0,0,0,0,0,0,-0.0020425066278157286,0,0,0,0,0,0,0,0,0.0017254438000619521,0,0,0,0,0,0,0,0,-0.0015053616470052907,0,0,0,0,0,0
2025-04-22,0,0,0,0,0,0,0.0024283579280372481,0,0,0,0,0,0,0,0,0.0058675776864841045,0,0,0,0,0,0,0,0,-0.001890872804946004,0,0,0,0,0,0
2025-04-23,0,0,0,0,0,0,0.0052780929705625807,0,0,0,0,0,0,0,0,-0.0038594556192610625,0,0,0,0,0,0,0,0,0.0021235943164196452,0,0,0,0,0,0
