date,symbol,actual_units,weight,economic_target,declared_units,stop,close,stop_broken,price_exit,ready,entry,score,cap,cash_fraction,reason
2025-09-25,sh603986,4317.1314741035858,0.13305055551974387,,4317.1314741035858,161.85900000000001,196.66,False,False,True,True,1.9349251584173539,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688008,0,0,,0,0,136.01599999999999,False,False,True,True,3.1877023546493786,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688012,0,0,,0,0,193.054,False,False,True,True,1.8591519099131348,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688019,0,0,,0,0,167.56899999999999,False,False,True,True,2.4189409321070063,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688037,0,0,,0,0,138.54400000000001,False,False,True,True,1.6871297033123414,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688041,8668.3491669054201,0.36362832275938117,,8668.3491669054201,211.3955,267.68000000000001,False,False,True,True,2.7380436783041118,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688072,0,0,,0,0,248.67099999999999,False,False,True,True,2.0739722137365142,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688082,0,0,,0,0,182.72999999999999,False,False,True,True,2.0648695153883128,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688120,0,0,,0,0,112.059,False,False,True,True,1.7655430625093285,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688205,0,0,,0,0,126.41,False,False,True,True,1.6416053408765363,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688249,0,0,,0,0,28.210000000000001,False,False,True,True,1.0174842043349503,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688256,0,0,,0,0,929.65800000000002,False,False,True,False,3.5035924149475868,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688268,0,0,,0,0,67.150000000000006,False,False,True,True,2.1164801501619608,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688300,0,0,,0,0,60.259999999999998,False,False,True,True,1.1846648967395137,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688347,0,0,,0,0,90.379999999999995,False,False,False,True,2.9683823112594299,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688361,0,0,,0,0,119.84999999999999,False,False,True,True,1.1284292060254086,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688409,0,0,,0,0,74.700000000000003,False,False,True,True,1.5542332329357964,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688498,0,0,,0,0,262.65499999999997,False,False,True,False,4.6195117922406181,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688535,0,0,,0,0,79.236999999999995,False,False,True,True,1.4576588561862669,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh688825,0,0,,0,0,0,False,False,False,False,,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sz002281,0,0,,0,0,71.629999999999995,False,False,True,True,1.7622510737613863,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sz002371,0,0,,0,0,452.88799999999998,False,False,True,True,1.8045787037961305,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sz002409,0,0,,0,0,71.989999999999995,False,False,True,True,1.4205328547038032,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sz300054,0,0,,0,0,36.719999999999999,False,False,True,True,1.6388976691603709,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sz300223,0,0,,0,0,84.939999999999998,False,False,True,True,0.71362702731066863,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sz300604,0,0,,0,0,94.489999999999995,False,False,True,True,2.3948238476254651,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sz300666,0,0,,0,0,99.715999999999994,False,False,True,True,1.3574063890409171,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sz300776,0,0,,0,0,74.712000000000003,False,False,True,False,0.78127021991435475,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,bj920045,0,0,,0,0,0,False,False,False,False,,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
