scope,date,symbol,cash_fraction,cap,healthy_closes,entry_closes,actionable,higher_than_new_request,actual_new_requests,matured_forward20_return
chatgpt_5,2024-04-25,sz300502,0.62426888446384787,1,3,2,False,False,,0.1205385494728819
chatgpt_5,2024-05-07,sh603986,0.372942707660952,1,12,1,False,False,,0.015312273932963638
chatgpt_5,2024-05-08,sh688008,0.37250469436541639,1,7,1,False,False,,0.024192085156139687
chatgpt_5,2024-05-09,sh688008,0.37142990965485506,1,8,2,False,False,,0.0089570823208080519
chatgpt_5,2024-05-23,sz300308,0.28326840403350512,1,4,1,False,False,,0.1504468071228231
chatgpt_5,2024-06-11,sh603986,0.83722981246431183,0.5,8,1,True,False,,0.10246328206314326
chatgpt_5,2024-06-13,sh603986,0.83128936854206614,1,10,1,True,False,,0.10032988283471744
chatgpt_5,2024-06-14,sh603986,0.81252816345572088,1,11,2,True,False,,0.074690186446354945
chatgpt_5,2024-06-17,sz300308,0.44111284794204192,1,4,1,True,True,sh603986,0.050280918853566448
chatgpt_5,2024-06-18,sz300308,0.2913905168766403,1,5,2,False,False,,0.0083442521205434605
chatgpt_5,2024-07-31,sz300394,1,0,3,1,False,False,,-0.2309132640734477
chatgpt_5,2024-08-01,sz300394,1,0,4,2,False,False,,-0.2673661867478323
chatgpt_5,2024-09-24,sz300502,1,0.5,7,1,True,False,,0.24359144389079423
chatgpt_5,2024-09-25,sz300502,1,0.5,8,2,True,False,,0.24660146046635778
chatgpt_5,2024-10-08,sh603986,0.23940380197029143,1,6,1,False,False,,-0.053370786516854007
chatgpt_5,2024-10-08,sz300394,0.23940380197029143,1,6,1,False,False,,0.11728138556920364
chatgpt_5,2024-10-09,sh603986,0.25458790732005349,1,7,2,False,False,,0.015433105097272026
chatgpt_5,2024-10-09,sz300394,0.25458790732005349,1,7,2,False,False,,0.21554182509505715
chatgpt_5,2024-11-13,sz300308,0.27591505760694085,1,3,1,False,False,,-0.20187823834196894
chatgpt_5,2024-11-13,sz300502,0.27591505760694085,1,3,1,False,False,,-0.12894608014546471
chatgpt_5,2024-11-14,sz300308,0.28625263760472347,1,4,2,False,False,,-0.12688040296780334
chatgpt_5,2024-11-14,sz300502,0.28625263760472347,1,4,2,False,False,,-0.045667566975691631
chatgpt_5,2024-12-18,sh603986,1,0.5,4,1,True,False,,0.24666535896429975
chatgpt_5,2024-12-19,sh603986,1,0.5,5,2,True,False,sh688008,0.20385377273545813
chatgpt_5,2024-12-20,sz300502,0.76892768108797804,1,8,1,True,False,sh603986,-0.0078832658360900032
chatgpt_5,2025-01-13,sh603986,1,0,4,1,False,False,,0.048132922233641517
chatgpt_5,2025-01-14,sh603986,1,0,5,2,False,False,,-0.016569428238039752
chatgpt_5,2025-01-23,sz300394,0.73101406431753746,1,6,1,True,False,,-0.22077876106194683
chatgpt_5,2025-01-23,sz300502,0.73101406431753746,1,6,1,True,False,,-0.30152178020668308
chatgpt_5,2025-01-24,sz300394,0.730968472980702,1,7,2,True,False,,-0.23774557052978396
chatgpt_5,2025-01-24,sz300502,0.730968472980702,1,7,2,True,False,,-0.32185181901468807
chatgpt_5,2025-02-07,sh688008,0.46196016474558743,1,3,2,True,False,,0.10185068437495626
chatgpt_5,2025-02-26,sz300394,0.26202171762555548,1,6,1,False,False,,-0.16841439334394104
chatgpt_5,2025-02-27,sz300394,0.26366128608999123,1,7,2,False,False,,-0.15804419558044203
chatgpt_5,2025-03-10,sh688008,1,0,3,1,False,False,,-0.18688306638738739
chatgpt_5,2025-05-07,sh603986,1,1,10,1,True,False,,-0.0963174996131827
chatgpt_5,2025-05-07,sz300502,1,1,10,1,True,False,,0.45382770549907692
chatgpt_5,2025-05-08,sh603986,1,1,11,2,True,False,,-0.032270821798623839
chatgpt_5,2025-05-08,sh688008,1,1,5,1,True,False,,0.083230330865611046
chatgpt_5,2025-05-08,sz300502,1,1,11,2,True,False,,0.30275432730497109
chatgpt_5,2025-05-09,sh688008,1,1,6,2,True,True,"sh603986,sz300502",0.10019942154545092
chatgpt_5,2025-05-14,sz300308,0.22999833503170816,1,15,1,False,False,,0.18250595916675305
chatgpt_5,2025-06-06,sz300394,0.0051396976162498779,1,7,1,False,False,,0.17878458432251332
chatgpt_5,2025-06-09,sz300394,0.0051042498466398337,1,8,2,False,False,,0.041593961774134547
chatgpt_5,2025-06-12,sz300308,0.00517286441446456,1,7,1,False,False,,0.27248028045574069
chatgpt_5,2025-06-13,sz300308,0.0052565879588836123,1,8,2,False,False,,0.25385620915032669
chatgpt_5,2025-06-16,sh603986,0.0050412667171219477,1,8,1,False,False,,-0.025683789192795237
chatgpt_5,2025-06-17,sh603986,0.0050239512103998551,1,9,2,False,False,,-0.057576507465148974
chatgpt_5,2025-07-01,sh688008,0.0022927289548616936,1,3,2,False,False,,0.061412990075660812
chatgpt_5,2025-07-15,sh688008,0.21622033658268508,1,3,1,False,False,,0.057368147693469984
chatgpt_5,2025-07-16,sh688008,0.20502249574801926,1,4,2,False,False,,0.061510382099175143
chatgpt_5,2025-08-18,sh603986,0.24491922129476615,1,5,1,False,False,,0.52212885154061617
chatgpt_5,2025-08-19,sh603986,0.23561582887138546,1,6,2,False,False,,0.53791527222267566
chatgpt_5,2025-09-15,sz300308,1,0.5,4,1,True,True,sh603986,0.083321036840293239
chatgpt_5,2025-09-16,sz300308,0.86796649149541805,0.5,5,2,True,True,sh688008,0.081166772352568195
chatgpt_5,2025-09-18,sz300308,0.74501606144494115,1,7,1,False,False,,0.20833333333333326
chatgpt_5,2025-09-18,sz300502,0.74501606144494115,1,6,1,False,False,,0.079706110639266248
chatgpt_5,2025-09-19,sz300308,0.74677436137616582,1,8,2,False,False,,0.20909307307783864
chatgpt_5,2025-09-19,sz300502,0.74677436137616582,1,7,2,False,False,,0.15458549617708184
chatgpt_5,2025-09-26,sz300502,0.40833640222431994,0,4,1,False,False,,-0.07302883695093243
chatgpt_5,2025-09-29,sz300502,1,0,5,2,False,False,,-0.10390450748113911
chatgpt_5,2025-11-28,sz300308,1,0.5,4,1,True,False,,0.21908471275559882
chatgpt_5,2025-12-01,sz300308,1,0.5,5,2,True,False,,0.14897579143389206
chatgpt_5,2025-12-05,sz300502,0.84517365004526446,1,8,1,True,True,sz300394,
chatgpt_5,2025-12-08,sz300502,0.52931703694620647,1,9,2,False,False,,
joint_optical_leader_removal,2023-03-02,sz002281,0.24573707040476903,1,3,1,False,False,,0.10858923008455723
joint_optical_leader_removal,2023-03-03,sz002281,0.24020015727476393,1,4,2,False,False,,0.14615384615384608
joint_optical_leader_removal,2023-04-06,sh688037,0.21586467095827855,1,4,1,False,False,,-0.078299082947917098
joint_optical_leader_removal,2023-04-07,sh688037,0.20379641750929048,1,5,2,False,False,,-0.078699722746815692
joint_optical_leader_removal,2023-05-30,sh688498,0.35370754240427849,1,5,1,False,False,,0.34177397516780439
joint_optical_leader_removal,2023-05-31,sh688498,0.35598597071382265,1,6,2,False,False,,0.42158862427141486
joint_optical_leader_removal,2023-06-02,sh688256,0.47987942949624035,0.5,6,1,False,False,,-0.11571125961582607
joint_optical_leader_removal,2023-06-05,sh688256,0.50461913125362889,0.5,7,2,False,False,,-0.12901524376347084
joint_optical_leader_removal,2023-06-16,sz002409,0.48062702112092803,0.5,4,1,False,False,,0.11678514434933995
joint_optical_leader_removal,2023-06-19,sz002409,0.51177931901276241,0.5,5,2,False,False,,0.053805959610224496
joint_optical_leader_removal,2023-08-31,sh688072,1,0.5,3,1,True,False,,-0.037569147051227381
joint_optical_leader_removal,2023-09-01,sh688072,1,0.5,4,2,True,True,"sh688082,sh688361",-0.05413310346877509
joint_optical_leader_removal,2023-09-11,sh688037,0.38414806043657396,1,10,1,False,False,,-0.046074250841092179
joint_optical_leader_removal,2023-10-11,sh688082,0.44470426793600643,1,4,1,False,False,,-0.0019732157411140872
joint_optical_leader_removal,2023-10-12,sh688082,0.43274997729660936,1,5,2,False,False,,-0.055910073061433918
joint_optical_leader_removal,2023-10-12,sh688361,0.43274997729660936,1,6,1,False,False,,0.019579405366207503
joint_optical_leader_removal,2023-10-13,sh688361,0.24541057317511519,1,7,2,False,False,,0.054659608519020075
joint_optical_leader_removal,2023-10-18,sh688037,0.0098948236262001461,1,6,1,False,False,,0.15536018210105351
joint_optical_leader_removal,2023-10-19,sh688037,0.0099171192221709486,1,7,2,False,False,,0.12634305149620872
joint_optical_leader_removal,2023-10-20,sh688041,0.010166363705241594,1,3,2,False,False,,0.11754484591403891
joint_optical_leader_removal,2023-11-30,sh688012,0.57793179687606111,0.5,4,1,False,False,,-0.059308057958744609
joint_optical_leader_removal,2023-12-01,sh688012,0.5741515234946879,0.5,5,2,False,False,,-0.091746453900709235
joint_optical_leader_removal,2024-02-19,sh688041,1,0,4,1,False,False,,-0.032872802143166235
joint_optical_leader_removal,2024-02-20,sh688041,1,0.5,5,2,True,False,,-0.021252946708846809
joint_optical_leader_removal,2024-03-04,sh688012,0.26239122896315448,1,10,1,False,False,,0.018568093071937408
joint_optical_leader_removal,2024-03-04,sh688300,0.26239122896315448,1,10,1,False,False,,-0.11679775589901542
joint_optical_leader_removal,2024-03-04,sh688535,0.26239122896315448,1,9,1,False,False,,-0.14259160456430831
joint_optical_leader_removal,2024-03-05,sh688012,0.26267532223851803,1,11,2,False,False,,-0.00013033104084370084
joint_optical_leader_removal,2024-03-05,sh688535,0.26267532223851803,1,10,2,False,False,,-0.15759317311041443
joint_optical_leader_removal,2024-03-08,sh688300,0.26457747654277375,1,14,1,False,False,,-0.18614218111421821
joint_optical_leader_removal,2024-04-30,sh688019,0.49392710076838986,0.5,4,1,False,False,,-0.05034589294109737
joint_optical_leader_removal,2024-05-06,sh688019,0.49582353421086411,1,5,2,False,False,,-0.023830293417922199
joint_optical_leader_removal,2024-05-06,sh688300,0.49582353421086411,1,9,1,False,False,,0.014359058836449279
joint_optical_leader_removal,2024-05-07,sh688300,0.49900831565231241,1,10,2,False,False,,0.008456195261236088
joint_optical_leader_removal,2024-05-08,sh688008,0.50229034011441664,1,7,1,False,False,,0.024192085156139687
joint_optical_leader_removal,2024-05-09,sh688008,0.50177823958462209,1,8,2,False,False,,0.0089570823208080519
joint_optical_leader_removal,2024-05-30,sz002409,0.55614984006544843,1,4,1,True,False,sh688008,0.059409340659340781
joint_optical_leader_removal,2024-06-04,sz300054,0.0031891140268435888,1,3,1,False,False,,-0.02662592754255777
joint_optical_leader_removal,2024-06-05,sz002409,0.0032208511163800422,1,3,2,False,False,,0.068856285428476216
joint_optical_leader_removal,2024-06-05,sz300054,0.0032208511163800422,1,4,2,False,False,,-0.041575492341356823
joint_optical_leader_removal,2024-06-06,sz002371,0.0032341770315219122,1,4,1,False,False,,-0.015544261988065244
joint_optical_leader_removal,2024-06-07,sz002371,0.0032859029527278825,1,5,2,False,False,,-0.0032046893718979952
